Pairs,n_clusters,silhouette_score,rand_index,v_measure
Jeff_Bridges & Kurt_Russel,2,0.0332118459045887,0.49875853507138423,0.002194278164138483
Hugh_Jackman & Clint_Eastwood,2,0.030991027131676674,0.49785575048732944,0.0005096447901031306
Jon_Stewart & Richard_Lewis,2,0.03185480460524559,0.4974463738508682,0.0015869196168242666
Tony_Hayward & Michael_Sheen,2,0.03176616504788399,0.4974640743871513,0.0004571582081739742
Michael_Sheen & Andy_Serkis,2,0.027454376220703125,0.5023713646532438,0.0042877203724823254
Tony_Hayward & Andy_Serkis,2,0.03546425700187683,0.4961832061068702,0.000444530095946149
Roselyn_Sanchez & Nicole_Scherzinger,2,0.03614049032330513,0.49710982658959535,0.00019776707702280464
Amanda_Peet & Lake_Bell,2,0.032088734209537506,0.4977899293688767,0.00026176152623773216
Penn_Badgley & John_Mayer,2,0.030511178076267242,0.49798835044736683,0.0009066857479638455
Mickey_Rourke & Tim_Robbins,2,0.026894282549619675,0.49741019214703425,0.0001579968301677426
Shia_LaBeouf & Dave_Gahan,2,0.03928813338279724,0.5057978115302956,0.013902876394360303
Ginnifer_Goodwin & Jennifer_Morrison,2,0.02977023646235466,0.5075249001798956,0.014751131549039311
Patricia_Arquette & Emilie_de_Ravin,2,0.032084908336400986,0.5005462595595422,0.004705456880948497
Ray_Romano & Sanjay_Gupta,2,0.033081911504268646,0.4968256847451478,9.209243447151988e-05
Wendie_Malick & Kate_Walsh,2,0.03801523894071579,0.4999743629185254,0.004106255495583272
Kelly_Lynch & Angela_Kinsey,2,0.02622118405997753,0.4984932593180016,0.0026307044229586314
Courteney_Cox & Nelly_Furtado,2,0.03398475795984268,0.4972067039106145,0.0004750061427797368
Jeffrey_Tambor & Dr_Phil_McGraw,2,0.036069754511117935,0.5058208600617724,0.012166741539422196
David_Cross & Paul_Giamatti,2,0.027663199231028557,0.4976058931860037,0.0001501025944957781
Seth_MacFarlane & Christopher_Knight,2,0.03445207700133324,0.4980023501762632,0.001442488909224704
Josh_Duhamel & Timothy_Olyphant,2,0.030753660947084427,0.5037676609105181,0.008859504331634878
Barack_Obama & Ilham_Anas,2,0.03498079255223274,0.5,0.0038844281704688874
Ronda_Rousey & Julia_Stiles,2,0.034587401896715164,0.4977531060005287,0.0026399686063900887
Ralph_Fiennes & Daniel_Day-Lewis,2,0.030557535588741302,0.49936513694902956,0.003126553903287058
Patrick_Dempsey & Don_Swayze,2,0.03296208754181862,0.49968553459119497,0.006038059598718742
Mary-Kate_Olsen & Elizabeth_Olsen,2,0.034665297716856,0.5008279472250414,0.004036467823822893
Mary-Kate_Olsen & Ashley_Olsen,2,0.030609669163823128,0.5011739756116034,0.0060075183789203655
Ashley_Olsen & Elizabeth_Olsen,2,0.029125960543751717,0.498096543322674,0.0017732096160059897
Venus_Williams & Serena_Williams,2,0.03267664089798927,0.5009585221331474,0.006815486381129356
Helen_Mirren_Young & Jennifer_Lawrence,2,0.0245219673961401,0.4979016167870657,0.0022817792793874696
Joseph_Gordon_Levitt & Heath_Ledger,2,0.035280030220746994,0.4999327866648743,0.005232304590919928
Javier_Bardem & Geoffrey_Dean_Morgan,2,0.028841638937592506,0.5021132713440406,0.00866617644532589
Tom_Hardy & Logan_Marshall_Green,2,0.035950470715761185,0.49794555726759115,0.001409252221055687
Carrie_Underwood & Emily_Osment,2,0.02481365203857422,0.49758524099294893,0.00014465041555632814
Tracy_Morgan & Doug_E._Fresh,2,0.024842968210577965,0.49760765550239233,0.003902278285819146
Gigi_Hadid & Bella_Hadid,2,0.030239254236221313,0.5017997382198953,0.007301091992959118
Isaac_Mizrahi & JJ_Abrams,2,0.0430409200489521,0.49726177437020813,0.0009614696711085048
Rob_Lowe & Ian_Somerhalder,2,0.031717266887426376,0.49777271314617216,0.0004604391368561188
Patrick_Dempsey & Guillaume_Canet,2,0.032023850828409195,0.49815973500184024,0.00101331873185838
Zooey_Kravitz & Lisa_Bonet,2,0.026333721354603767,0.4966887417218543,0.0005065846070749506
Jonathan_Pryce & Pope_Francis,2,0.033155836164951324,0.49726177437020813,0.000243471600732997
Ben_Mckenzie & Russell_Crowe,2,0.02540198154747486,0.49711751662971176,0.00030491626907226785
Jesse_Plemons & Matt_Damon,2,0.03286507725715637,0.5029532614278377,0.00859445948247228
Laura_Benanti & Melania_Trump,2,0.031015295535326004,0.49782608695652175,0.003278716736667163
DB_Woodside & Morris_Chestnut,2,0.026772281154990196,0.49635282235439343,3.7488876447975065e-05
Nora_Zehetner & Priscilla_Faia,2,0.04121239855885506,0.4971751412429379,0.0015049067823946765
Jameela_Jamil & Hannah_Simone,2,0.031317681074142456,0.5114581349584206,0.017229728722459953
Bridget_Regan & Abigail_Spencer,2,0.025575444102287292,0.5001579778830963,0.002315315422062579
Josh_McRoberts & Charlie_Day,2,0.03403192758560181,0.4994604202374151,0.002269975351013706
Dane_Cook & Gavin_Degraw,2,0.027904190123081207,0.4972982818286686,0.0006098390150110475
Jana_Kramer & Camille_Leblanc-Bazinet,2,0.03449128940701485,0.5053745474798106,0.010399871992798569
Amy_Sedaris & Kyra_Sedgwick,2,0.034557223320007324,0.5003625815808557,0.004469303885619985
Billie_Eilish & Cara_Delevigne,2,0.03745083883404732,0.5058290155440415,0.012372613364214469
Lili_Reinhart & Brittany_Murphy,2,0.03162518888711929,0.49746192893401014,1.1106589142983456e-05
Tyler_the_Creator & J._Alexander,2,0.03540309891104698,0.49618635332921046,0.00024333509791866288
Neels_Visser & Austin_Butler,2,0.03425530344247818,0.5086893344957861,0.015315768143449543
Neels_Visser & Chord_Overstreet,2,0.036855392158031464,0.51013221712843,0.020425068393407714
Austin_Butler & Chord_Overstreet,2,0.03246026486158371,0.49766702558580733,0.0001582618415810682
Emma_Watson & Kiernan_Shipka,2,0.02932247519493103,0.49835461366328815,8.815439282601275e-05
Skrillex & Corey_Feldman,2,0.032958984375,0.49797421731123387,0.0010212299834143955
Jennifer_Lawrence & Bella_Hadid,2,0.02844880148768425,0.49849787630788356,0.0009670919349730577
Jennifer_Lawrence & Carla_Bruni,2,0.030328568071126938,0.501094527363184,0.004770939154179366
