n_clusters,silhouette_score,rand_index,v_measure
2,0.03083561,0.4958573235114762,0.0017092626852628502
3,0.013845545,0.6235271592891731,0.0035111176980045494
4,0.015440701,0.7261740437154046,0.004964568701913937
5,0.013434421,0.7436635904098342,0.006809621611259212
6,0.010350737,0.8025786113398,0.008186744031311933
7,0.009499903,0.8122415774685195,0.009763248162871168
8,0.0044962345,0.8312623088252348,0.01127262025284825
9,0.004443917,0.8398830375662332,0.012609725657899985
10,0.0014062162,0.8545023514109855,0.013893158517188023
11,-0.0005852426,0.8708726782919565,0.015158748613652953
12,0.0006095787,0.8824509018503467,0.016612733136993046
13,0.0016752235,0.8955575830247823,0.017721087658976196
14,0.0021882642,0.9038201362797547,0.018989113031249536
15,0.0029854544,0.9096460131375917,0.020445768799866038
16,0.003272275,0.9256951666692872,0.02142848149684586
17,0.0012184947,0.9283821729169764,0.02258286314682389
18,0.0015906768,0.9289488594472396,0.024121113760820552
19,0.0021046258,0.9338655763154969,0.02545189461869029
20,0.000595486,0.9362173174263526,0.026656721692847024
21,0.00082649355,0.9375065342433616,0.028029370332039075
22,0.0012301637,0.938055715349305,0.029312934387068626
23,0.00086968084,0.9432921709262854,0.030381014961691596
24,0.0015572665,0.9449844918868232,0.031716007191786716
25,0.0014703706,0.9459594556953373,0.03322296319341322
26,0.00072771846,0.9469443829683505,0.03468214985863622
27,0.00084701116,0.9505417151803159,0.035860403455201945
28,0.0013678254,0.9511680472866517,0.03721070246992394
29,0.0019435867,0.9523995413322455,0.03853215628965968
30,0.0009400243,0.9542232925760674,0.03990361366512512
31,0.00083152595,0.9553822450844887,0.04120597947322009
32,0.0012769084,0.9556313773525985,0.042340101238634895
33,0.0018269785,0.9578121767394419,0.04379423941616444
34,0.0013588081,0.95879266312389,0.045186981957099
35,0.0018482719,0.959447617801839,0.04653918233053273
36,0.0022591732,0.9606034112914669,0.04795226846498481
37,0.0016607534,0.9612355451755088,0.0490563692165167
38,0.0018761329,0.9613116180005042,0.049987776090071184
39,0.0022211212,0.9643425235681328,0.051297114891591056
40,0.0027236412,0.9648067149522309,0.052543057225983965
41,0.002141441,0.9651871493166477,0.05388271017590048
42,0.0023958615,0.9653954338386922,0.05530578056584582
43,0.0025694496,0.9656875526438015,0.05642211005407325
44,0.002730008,0.9659748407314562,0.05760412924133892
45,0.002851535,0.9661322016598332,0.05868388291429637
46,0.003244722,0.9673916193946166,0.0598118115939961
47,0.0023180784,0.9676784702417602,0.06112707550273247
48,0.002261396,0.9679395537505081,0.06244077210866433
49,0.0018667905,0.9682464772734868,0.06373286369287638
50,0.002328744,0.9686864149791111,0.06498662235433501
51,0.0022956547,0.9704251835250318,0.06622556667879254
52,0.0025786052,0.9704722474614966,0.06699154471769077
53,0.002802319,0.9712712245982535,0.06816626881292759
54,0.0027116223,0.9714822080707624,0.06930382233399311
55,0.0028981057,0.971535432006075,0.0701767092808608
56,0.0029851892,0.9719920024109828,0.07126069287946318
57,0.00278878,0.9725970941108012,0.07253540301685012
58,0.0031543751,0.9729906404225944,0.07382631227213064
59,0.003630842,0.9737664561041626,0.07502806221146714
60,0.0020781036,0.9753535232645474,0.07608087092509971
61,0.002394387,0.9755205210440293,0.07717909794501222
62,0.0027620553,0.9758183643634613,0.07825814753520602
63,0.002992054,0.9758776218666304,0.07898415772728963
64,0.0034079046,0.9771721505412547,0.07996080778033855
65,0.0035984218,0.9777224765500626,0.0811880494045905
66,0.0037815373,0.9778808102946772,0.0824150421893954
67,0.0035103033,0.9779764764113328,0.08338253773256761
68,0.003920278,0.9782699438136812,0.08429229453030276
69,0.0042988686,0.9785390750062145,0.08538793588214653
70,0.0038066509,0.9787712830813668,0.0864601682333531
71,0.0039952896,0.9787992454022483,0.08716283211910984
72,0.0042391364,0.9789373923319387,0.08833634133127932
73,0.004571899,0.9791479701716841,0.08950355029750692
74,0.0047848155,0.9791903947931672,0.0902377485111098
75,0.004799823,0.9792275549686567,0.09095724325229411
76,0.004786884,0.9792739182667121,0.09181072081533209
77,0.0051000514,0.9794220971443548,0.09269581394631775
78,0.0051076277,0.9796968949036732,0.0937707765654108
79,0.005424724,0.9798942115372332,0.09485545179612911
80,0.005767692,0.9803536600031763,0.09597140998434847
81,0.0058796173,0.9803721083919719,0.09653103882099763
82,0.0058988277,0.9806036527044205,0.09776458482564995
83,0.005819387,0.9806884317079472,0.09869364496865898
84,0.006026425,0.9807596825954181,0.099551044194862
85,0.0058646062,0.9807771441200881,0.10006017621032695
86,0.005789811,0.9809735335930463,0.10113919553991345
87,0.0060830186,0.9810375146985246,0.10192581654051233
88,0.00630755,0.9810811983619615,0.1026238958715513
89,0.006055489,0.9812780531712065,0.10372989510657886
90,0.006370624,0.9815072374384867,0.10480499099478316
91,0.006590649,0.9816022994959621,0.10575490619619543
92,0.006601037,0.9816336807215633,0.10648093569804779
93,0.006777686,0.9816923552373843,0.10720099916529059
94,0.0071337274,0.9818363425764725,0.10826204966682804
95,0.007225747,0.9818808866730437,0.10909041068090164
96,0.007543956,0.9819732164163211,0.10987848447355882
97,0.00786112,0.9820976174876931,0.11071581843085768
98,0.008020814,0.9821158727180299,0.11125633311094332
99,0.008110492,0.9821652896757194,0.11208023700308709
